Close,Volume,Open,High,Low
$226.47 ,54146020,$227.34 ,$229.45 ,$225.81 
$228.20 ,318679900,$229.97 ,$233.09 ,$227.62 
$228.87 ,66781320,$224.99 ,$229.82 ,$224.63 
$220.69 ,59894930,$217.55 ,$222.71 ,$217.54 
$216.79 ,45519340,$215.75 ,$216.90 ,$214.50 
$216.32 ,59357430,$216.54 ,$217.22 ,$213.92 
$222.50 ,36766620,$223.58 ,$224.04 ,$221.91 
$222.77 ,37498230,$222.50 ,$223.55 ,$219.82 
$222.66 ,44587070,$221.46 ,$223.09 ,$217.89 
$220.11 ,51591030,$218.92 ,$221.48 ,$216.73 
$220.91 ,67179970,$220.82 ,$221.27 ,$216.71 
$220.82 ,48423010,$223.95 ,$225.24 ,$219.77 
$222.38 ,36615400,$221.63 ,$225.48 ,$221.52 
$220.85 ,43840200,$221.66 ,$221.78 ,$217.48 
$222.77 ,50190570,$228.55 ,$229.00 ,$221.17 
$229.00 ,52990770,$230.19 ,$230.40 ,$227.48 
$229.79 ,51906300,$230.10 ,$232.92 ,$228.88 
$226.49 ,38052170,$227.92 ,$229.86 ,$225.68 
$228.03 ,35934560,$226.00 ,$228.85 ,$224.89 
$227.18 ,30602210,$226.76 ,$227.28 ,$223.89 
